Month,Python,Java,JavaScript,C++,R
2004-01,8,88,39,25,2
2004-02,10,100,40,32,2
2004-03,8,93,37,28,2
2004-04,8,94,38,32,2
2004-05,7,85,38,24,2
2004-06,8,88,38,22,2
2004-07,9,82,40,24,2
2004-08,8,84,37,22,2
2004-09,8,89,37,28,2
2004-10,8,87,34,28,2
2004-11,7,83,32,24,2
2004-12,8,77,33,20,2
2005-01,7,74,30,20,2
2005-02,8,83,33,25,3
2005-03,7,78,32,22,2
2005-04,7,76,31,23,3
2005-05,8,74,32,20,3
2005-06,8,74,33,19,3
2005-07,8,65,33,18,3
2005-08,8,68,32,17,3
2005-09,7,70,28,21,3
2005-10,10,69,30,21,3
2005-11,7,63,28,19,3
2005-12,7,59,26,16,3
2006-01,7,58,28,16,3
2006-02,8,65,28,19,3
2006-03,8,62,28,18,3
2006-04,7,62,27,18,3
2006-05,7,57,28,15,3
2006-06,7,55,28,14,3
2006-07,7,56,26,13,3
2006-08,8,53,27,14,3
2006-09,7,56,26,16,3
2006-10,7,60,26,17,3
2006-11,7,56,24,15,3
2006-12,7,47,22,12,3
2007-01,7,52,24,12,3
2007-02,7,55,24,16,3
2007-03,7,54,24,14,3
2007-04,7,54,23,14,3
2007-05,7,52,23,12,3
2007-06,7,51,24,13,3
2007-07,8,49,25,12,3
2007-08,7,45,25,12,3
2007-09,7,51,22,14,3
2007-10,7,54,23,15,3
2007-11,7,50,22,13,2
2007-12,7,41,19,10,3
2008-01,7,44,22,12,2
2008-02,8,47,22,13,3
2008-03,8,48,22,13,3
2008-04,8,49,22,13,3
2008-05,8,45,22,11,3
2008-06,8,43,22,11,2
2008-07,8,42,22,11,2
2008-08,8,41,21,10,3
2008-09,8,45,21,13,3
2008-10,8,47,21,13,3
2008-11,8,43,19,12,3
2008-12,8,40,18,10,2
2009-01,8,41,19,10,3
2009-02,9,46,21,13,3
2009-03,9,47,21,13,3
2009-04,9,46,21,13,3
2009-05,8,41,20,11,3
2009-06,9,43,20,11,3
2009-07,9,40,20,10,2
2009-08,8,41,20,9,2
2009-09,9,44,18,13,3
2009-10,9,43,19,12,3
2009-11,8,42,19,12,3
2009-12,8,38,17,10,3
2010-01,8,39,18,11,3
2010-02,9,43,18,13,3
2010-03,9,44,19,12,3
2010-04,9,44,19,12,3
2010-05,9,41,19,11,3
2010-06,9,38,19,10,3
2010-07,8,36,16,8,3
2010-08,8,37,16,8,3
2010-09,8,39,16,11,4
2010-10,9,41,16,11,4
2010-11,8,38,16,10,4
2010-12,8,36,15,8,4
2011-01,8,31,14,8,4
2011-02,9,34,16,10,5
2011-03,9,36,16,10,4
2011-04,9,35,15,9,5
2011-05,8,32,15,8,4
2011-06,9,32,16,8,5
2011-07,9,30,15,7,4
2011-08,8,30,15,7,4
2011-09,9,33,16,9,5
2011-10,9,34,15,9,5
2011-11,9,32,15,9,5
2011-12,7,28,14,6,5
2012-01,8,30,16,7,5
2012-02,9,33,16,9,6
2012-03,9,31,16,8,5
2012-04,9,31,16,9,6
2012-05,9,28,15,7,5
2012-06,9,28,15,7,6
2012-07,9,29,15,6,5
2012-08,9,31,15,6,5
2012-09,9,32,15,8,6
2012-10,10,32,15,9,6
2012-11,9,29,13,8,5
2012-12,8,26,13,6,5
2013-01,10,40,14,7,6
2013-02,10,38,15,9,6
2013-03,10,33,16,8,5
2013-04,10,32,14,8,5
2013-05,11,30,16,7,5
2013-06,10,29,15,6,5
2013-07,10,28,15,6,5
2013-08,11,27,16,6,4
2013-09,11,29,15,7,5
2013-10,12,35,16,9,6
2013-11,11,28,16,8,5
2013-12,10,26,15,6,5
2014-01,11,32,16,7,5
2014-02,12,33,16,8,6
2014-03,12,29,16,8,5
2014-04,12,33,17,8,6
2014-05,12,30,17,7,6
2014-06,12,30,17,6,6
2014-07,12,31,17,6,6
2014-08,12,31,16,6,6
2014-09,14,32,16,8,6
2014-10,14,35,18,9,6
2014-11,13,33,16,8,6
2014-12,11,30,15,6,5
2015-01,12,31,15,6,6
2015-02,14,36,17,8,6
2015-03,14,36,18,9,7
2015-04,15,36,18,8,7
2015-05,14,31,17,7,6
2015-06,15,31,19,7,6
2015-07,16,28,19,6,6
2015-08,14,27,18,6,6
2015-09,15,31,18,8,6
2015-10,16,32,18,9,7
2015-11,16,30,17,8,6
2015-12,14,26,16,6,5
2016-01,15,21,15,6,6
2016-02,18,27,18,9,7
2016-03,17,24,17,8,6
2016-04,18,24,17,8,7
2016-05,16,21,17,6,6
2016-06,18,20,17,6,6
2016-07,16,18,16,5,5
2016-08,16,19,16,5,5
2016-09,18,23,16,7,6
2016-10,19,23,16,8,6
2016-11,19,23,17,7,9
2016-12,18,19,16,6,7
2017-01,20,25,16,6,7
2017-02,24,28,19,9,10
2017-03,24,28,20,9,10
2017-04,24,25,19,9,10
2017-05,22,22,18,7,9
2017-06,23,21,18,6,9
2017-07,21,19,18,5,8
2017-08,21,21,19,6,8
2017-09,23,24,18,8,9
2017-10,25,26,18,8,10
2017-11,23,22,17,8,9
2017-12,20,18,16,6,7
2018-01,22,20,17,7,8
2018-02,26,23,17,9,10
2018-03,25,23,17,8,8
2018-04,24,21,18,8,9
2018-05,23,21,17,6,8
2018-06,24,18,17,6,7
2018-07,24,18,17,5,7
2018-08,24,19,17,5,6
2018-09,25,22,17,7,8
2018-10,29,22,18,8,8
2018-11,26,19,17,7,8
2018-12,22,16,14,5,7
2019-01,25,18,16,6,7
2019-02,30,21,17,7,9
2019-03,27,19,16,7,8
2019-04,31,21,17,7,8
2019-05,27,19,16,6,7
2019-06,27,17,17,5,6
2019-07,27,17,16,5,7
2019-08,26,17,16,5,6
2019-09,30,21,15,8,8
2019-10,32,22,16,8,8
2019-11,28,18,14,7,8
2019-12,23,14,12,5,6
2020-01,25,17,14,6,6
2020-02,30,19,15,7,8
2020-03,26,17,13,6,7
2020-04,29,18,14,7,8
2020-05,27,15,14,6,7
2020-06,27,15,15,5,6
2020-07,28,16,15,5,6
2020-08,24,14,14,5,6
2020-09,28,18,14,7,7
2020-10,23,15,11,6,6
2020-11,19,12,10,5,5
2020-12,17,11,10,4,5
2021-01,17,12,10,4,5
2021-02,20,14,10,5,6
2021-03,20,14,11,5,6
2021-04,21,13,10,5,6
2021-05,19,11,10,4,5
2021-06,19,12,10,4,5
2021-07,18,11,10,4,5
2021-08,19,11,10,4,5
2021-09,24,15,11,6,6
2021-10,24,15,11,6,7
2021-11,23,14,11,5,6
2021-12,19,13,9,4,5
2022-01,25,14,13,5,6
2022-02,31,19,16,9,9
2022-03,34,17,16,8,8
2022-04,36,18,17,8,9
2022-05,30,15,16,6,7
2022-06,30,14,16,5,6
2022-07,29,14,15,5,6
2022-08,31,15,15,6,6
2022-09,34,18,15,8,8
2022-10,36,18,16,8,8
2022-11,34,17,15,7,8
2022-12,28,14,14,5,6
2023-01,29,15,14,6,6
2023-02,36,18,16,8,9
2023-03,33,17,16,7,8
2023-04,31,14,14,6,8
2023-05,27,13,14,5,7
2023-06,28,13,14,5,6
2023-07,27,12,13,5,6
2023-08,29,13,13,5,6
2023-09,31,16,12,7,7
2023-10,32,16,13,7,7
2023-11,28,13,11,6,6
2023-12,24,11,11,5,5
2024-01,29,15,12,6,6
2024-02,34,19,13,7,7
2024-03,31,15,12,6,7
2024-04,30,15,12,6,8
2024-05,28,14,12,5,6
2024-06,26,13,11,4,5
2024-07,26,13,11,4,5
