Team,Gold,Silver,Bronze,Total
Australia,1,0,1,2
Austria,9,7,7,23
Belarus,0,1,0,1
Bulgaria,0,1,0,1
Canada,7,10,7,24
Croatia,1,2,0,3
Czechia,1,2,1,4
Estonia,3,0,0,3
Finland,0,6,3,9
France,3,2,4,9
Germany,11,12,6,29
Great Britain,0,1,0,1
Italy,5,0,6,11
Japan,1,0,0,1
Latvia,0,0,1,1
Netherlands,3,2,4,9
Norway,2,8,9,19
People's Republic of China,2,4,5,11
Poland,0,1,1,2
Republic of Korea,6,3,2,11
Russian Federation,8,6,8,22
Slovakia,0,1,0,1
Sweden,7,2,5,14
Switzerland,5,4,5,14
Ukraine,0,0,2,2
United States of America,9,9,7,25
